c4l4r, r31
0, 255; 215; 0
0, 255; 215; 0
0, 238; 201; 0
0, 205; 173; 0
0, 255; 213; 0
0, 250; 200; 10
0, 235; 207; 24
0, 223; 203; 35
0, 231; 202; 35
0, 231; 202; 50
0, 231; 202; 69
0, 164; 157; 19
0, 195; 182; 19
0, 223; 210; 19
0, 254; 215; 0
0, 246; 207; 6
0, 252; 213; 15
0, 248; 216; 22
0, 246; 224; 7
0, 237; 211; 7
0, 252; 214; 4
0, 247; 207; 13
0, 247; 218; 13
0, 216; 189; 13
0, 220; 195; 13
0, 220; 182; 20
0,190;191;35
0,189;191;32
0,189;189;33
0,191;192;38
0,189;191;32
0,190;191;35
0,190;190;34
0,192;192;36
0,191;191;35
0,189;191;32
0,189;191;30
0,189;189;33
0,174;213;81
0,174;211;81
0,167;207;75
0,158;202;79
0,172;211;82
0,174;207;74
0,162;205;75
0,173;212;83
0,138;191;57
0,140;191;50
0,152;195;53
0,172;208;72
0,177;210;77
0,175;208;75
0,185;223;124
0,191;223;116
0,177;217;102
0,187;224;131
0,188;223;12
1, 100; 149; 237
1, 30; 144; 255
1, 30; 144; 255
1, 28; 134; 238
1, 24; 116; 205
1, 65; 105; 225
1, 72; 118; 255
1, 67; 110; 238
1, 0; 0; 255
1, 0; 0; 238
1, 77; 77; 255
1, 0; 127; 255
1, 71; 117; 229
1, 71; 72; 229
1, 45; 51; 233
1, 77; 25; 233
1, 90; 63; 247
1, 90; 16; 247
1, 70; 16; 231
1, 35; 76; 231
1, 35; 76; 231
1,1; 129; 255
1,4; 123; 249
1,4; 123; 244
1,11; 127; 244
1,11; 117; 232
1,20; 125; 241
1,2; 100; 163
1,5; 96; 167
1,5; 102; 167
1,12; 109; 174
1,12; 100; 165
1,6; 108; 161
1,2; 140; 205
1,2; 137; 204
1,12; 137; 204
1,12; 133; 200
1,12; 141; 208
1,2; 123; 194
1,2; 120; 191
1,2; 126; 197
1,19; 126; 197
1,19; 120; 197
1,19; 120; 192
2, 165; 42; 42
2, 166; 42; 42
2, 255; 64; 64
2, 238; 59; 59
2, 205; 51; 51
2, 142; 35; 35
2, 255; 36; 0
2, 255; 69; 0
2, 255; 69; 0
2, 238; 64; 0
2, 205; 55; 0
2, 178; 34; 34
2, 255; 48; 48
2, 238; 44; 44
2, 205; 38; 38
2, 139; 26; 26
2, 204; 51; 51
2, 255; 0; 0
2, 255; 0; 0
2, 238; 0; 0
2, 205; 0; 0
2, 142; 35; 35
2, 140; 23; 23
2, 192; 0; 0
2, 128; 0; 0
2, 255; 0; 0
2, 230; 38; 36
2, 226; 73; 71
2, 237; 42; 45
2, 196; 42; 45
2, 178; 53; 64
2, 224; 53; 64
2, 224; 72; 55
2, 204; 25; 28
2, 162; 25; 28
2, 210; 40; 28
2, 182; 40; 50
2, 247; 40; 50
2, 247; 58; 60
2, 189; 58; 60
3, 34; 139; 34
3,5; 178; 96
3,12; 174; 92
3,7; 180; 96
3,13; 175; 93
3,8; 182; 91
3,13; 174; 95
3,13; 180; 95
3,16; 190; 118
3,12; 195; 124
3,12; 190; 119
3,16; 190; 115
3,16; 186; 120
3,6; 179; 97
3,10; 174; 95
3,16; 181; 102
3,12; 178; 100
3,12; 186; 108
3,10; 182; 10
3, 50; 205; 50
3,19; 154; 59
3,28; 161; 68
3,23; 155; 63
3,30; 162; 70
3,22; 151; 65
3,32; 155; 70
3,27; 159; 69
3,37; 162; 62
3,31; 157; 70
3,38; 165; 78
3,36; 162; 83
3,32; 158; 76
3,38; 164; 84
3,6; 154; 93
3,6; 154; 81
3,6; 160; 89
3,6; 154; 83
3,14; 154; 83
3,14; 154; 72
3,14; 163; 82
3,48; 183; 102
3,38; 169; 95
3, 0; 205; 0
4, 255; 165; 0
4, 255; 165; 0
4, 238; 154; 0
4, 205; 133; 0
4, 210; 105; 30
4, 255; 127; 36
4, 238; 118; 33
4, 205; 102; 29
4, 255; 140; 0
4, 255; 127; 0
4, 238; 118; 0
4, 205; 102; 0
4, 255; 127; 0
4, 255; 130; 71
4, 238; 121; 66
4, 205; 104; 57
4, 255; 127; 0
4, 217; 135; 25
4, 205; 127; 50
4, 255; 143; 73
4, 219; 108; 15
4, 219; 122; 34
4, 211; 122; 34
4, 211; 112; 44
4, 221; 126; 44
4, 221; 116; 58
4, 196; 116; 58
4, 241; 116; 58
4, 241; 130; 65
4, 255; 91; 1
4, 252; 96; 5
4, 246; 93; 4
4, 236; 100; 14
4, 255; 95; 22
4, 243; 95; 9
4, 227; 110; 17
4, 240; 87; 17
4, 240; 87; 3
4, 248; 98; 3
4, 239; 121; 3
4, 241; 129; 3
4, 241; 118; 11
5, 250; 249; 255
5, 255; 255; 255
5, 254; 253; 255
5, 250; 255; 251
5, 244; 245; 243
5, 250; 249; 247
5, 247; 251; 249
5, 239; 239; 239
5, 248; 246; 247
5, 255; 251; 249
5, 247; 255; 249
5, 240; 242; 240
5, 250; 249; 248
5, 231; 232; 233
5, 237; 235; 240
5, 228; 228; 228
5, 225; 225; 225